Starting a Gradle Daemon (subsequent builds will be faster)
> Task :app:generateEffectiveLombokConfig UP-TO-DATE
> Task :app:compileJava UP-TO-DATE
> Task :app:processResources UP-TO-DATE
> Task :app:classes UP-TO-DATE

> Task :app:run
[2024-02-24T14:54:35,701] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000002/s97l760c.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-52_s97l760c.ogg
[2024-02-24T14:54:35,701] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-52_s97l760c.ogg
[2024-02-24T14:54:35,702] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-52_s97l760c.ogg to transcribe-legal-audio/2024-02-24_67857951-4460-4436-888e-45a3486bf003/2024-02-21_10-52_s97l760c.ogg
[2024-02-24T14:54:35,702] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000001/s95rde05.ogg with new file /tmp/31747/Transcription Package 1/00000001/2024-02-20_10-00_s95rde05.ogg
[2024-02-24T14:54:35,702] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000001/2024-02-20_10-00_s95rde05.ogg
[2024-02-24T14:54:35,702] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000001/2024-02-20_10-00_s95rde05.ogg to transcribe-legal-audio/2024-02-24_6f7e15bb-81be-4e9f-a37c-e01d7d0b05b1/2024-02-20_10-00_s95rde05.ogg
[2024-02-24T14:54:35,703] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000004/s981yo02.ogg with new file /tmp/31747/Transcription Package 1/00000004/2024-02-21_15-14_s981yo02.ogg
[2024-02-24T14:54:35,703] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000004/2024-02-21_15-14_s981yo02.ogg
[2024-02-24T14:54:35,703] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000004/2024-02-21_15-14_s981yo02.ogg to transcribe-legal-audio/2024-02-24_0c43f022-448e-47c9-bf7e-908015f74871/2024-02-21_15-14_s981yo02.ogg
[2024-02-24T14:54:35,703] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000000/s9630i07.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_14-31_s9630i07.ogg
[2024-02-24T14:54:35,704] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000000/s9630i0d.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_15-31_s9630i0d.ogg
